dia;dia_semana;fim_semana;nome_atividade;duracao;frequencia;durfreq
5;4;0;reading;3551,0;1;3551,0
5;4;0;sleep;-42356,0;3;-14118,666666666666
5;4;0;takem;205,0;1;205,0
5;4;0;toileting;1429,0;3;476,3333333333333
5;4;0;tshower;665,0;1;665,0
5;4;0;watchtv;10864,0;5;2172,8
5;4;0;wdish;735,0;1;735,0
5;4;0;whandface;1066,0;4;266,5
6;5;1;cclothes;918,0;2;459,0
6;5;1;celluse;837,0;1;837,0
6;5;1;eating;8370,0;3;2790,0
6;5;1;mcoffe;1543,0;3;514,3333333333334
6;5;1;mhotfood;4140,0;2;2070,0
6;5;1;msandwich;455,0;1;455,0
6;5;1;sleep;-41407,999999999985;3;-13802,666666666662
6;5;1;takem;174,0;1;174,0
6;5;1;toileting;1068,0;3;356,0
6;5;1;tshower;628,0;1;628,0
6;5;1;watchtv;18219,999999999993;4;4554,999999999998
6;5;1;whandface;2294,9999999999964;8;286,87499999999955
7;6;1;cclothes;900,0;2;450,0
7;6;1;celluse;2599,0;2;1299,5
7;6;1;eating;8456,0;3;2818,6666666666665
7;6;1;goout;14406,0;2;7203,0
7;6;1;hairdray;338,0;1;338,0
7;6;1;mcoffe;1506,0;3;502,0
7;6;1;mhotfood;5268,0;2;2634,0
7;6;1;msandwich;534,0;1;534,0
7;6;1;reading;3320,0;1;3320,0
7;6;1;sleep;-42370,999999999985;3;-14123,666666666662
7;6;1;takem;180,0;1;180,0
7;6;1;toileting;2082,0;5;416,4
7;6;1;tshower;912,0;1;912,0
7;6;1;watchtv;2078,0;1;2078,0
7;6;1;whandface;2555,9999999999927;9;283,9999999999992
8;0;0;cclothes;898,0;2;449,0
8;0;0;celluse;1480,0;2;740,0
8;0;0;eating;5085,0;2;2542,5
8;0;0;goout;9395,0;1;9395,0
8;0;0;makeup;421,0;1;421,0
8;0;0;mcoffe;1641,0;3;547,0
8;0;0;mdish;562,0;2;281,0
8;0;0;mhotfood;2533,0;1;2533,0
8;0;0;msandwich;338,0;1;338,0
8;0;0;sleep;-49049,99999999999;3;-16349,999999999998
8;0;0;takem;223,0;1;223,0
8;0;0;toileting;2121,0;5;424,2
8;0;0;tshower;601,0;1;601,0
8;0;0;watchtv;5071,999999999993;1;5071,999999999993
8;0;0;wdish;850,0;1;850,0
8;0;0;whandface;2662,0;10;266,2
9;1;0;cclothes;877,0;2;438,5
9;1;0;eating;7830,0;3;2610,0
9;1;0;goout;7773,0;1;7773,0
9;1;0;hairdray;120,0;1;120,0
9;1;0;makeup;401,0;1;401,0
9;1;0;mcoffe;824,9999999999964;2;412,4999999999982
9;1;0;mdish;259,0;1;259,0
9;1;0;mhotfood;5433,0;2;2716,5
9;1;0;msandwich;314,0;1;314,0
9;1;0;reading;6413,0;2;3206,5
9;1;0;sleep;-32981,99999999999;3;-10993,999999999998
9;1;0;takem;147,0;1;147,0
9;1;0;toileting;2615,0;5;523,0
9;1;0;tshower;1193,0;1;1193,0
9;1;0;watchtv;7288,0;3;2429,3333333333335
9;1;0;wdish;771,9999999999927;1;771,9999999999927
9;1;0;whandface;2133,0;7;304,7142857142857
10;2;0;cclothes;1107,0;2;553,5
10;2;0;celluse;1829,0;2;914,5
10;2;0;eating;4604,0;2;2302,0
10;2;0;goout;-77624,0;1;-77624,0
10;2;0;hairdray;278,0;1;278,0
10;2;0;mcoffe;860,0;2;430,0
10;2;0;mdish;785,0;3;261,6666666666667
10;2;0;mhotfood;4755,0;2;2377,5
10;2;0;msandwich;311,0;1;311,0
10;2;0;sleep;15063,000000000007;2;7531,500000000004
10;2;0;takem;120,0;1;120,0
10;2;0;toileting;1373,0;3;457,6666666666667
10;2;0;tshower;837,0;1;837,0
10;2;0;watchtv;15201,999999999993;5;3040,3999999999987
10;2;0;wdish;896,0;1;896,0
10;2;0;whandface;1615,0;6;269,1666666666667
11;3;0;cclothes;1825,0;4;456,25
11;3;0;celluse;672,0;1;672,0
11;3;0;eating;5026,0;2;2513,0
11;3;0;goout;8649,0;1;8649,0
11;3;0;hairdray;339,0;1;339,0
11;3;0;mcoffe;1274,0;3;424,6666666666667
11;3;0;mdish;428,0;2;214,0
11;3;0;mhotfood;3122,0;1;3122,0
11;3;0;msandwich;597,0;1;597,0
11;3;0;reading;5860,999999999993;2;2930,4999999999964
11;3;0;sleep;-31484,999999999985;3;-10494,999999999995
11;3;0;takem;179,0;1;179,0
11;3;0;toileting;1652,0;4;413,0
11;3;0;tshower;706,9999999999964;1;706,9999999999964
11;3;0;watchtv;9805,0;3;3268,3333333333335
11;3;0;wdish;779,0;1;779,0
11;3;0;whandface;1661,0;6;276,8333333333333
12;4;0;Laundry;2876,0;1;2876,0
12;4;0;Vacuuming;1762,0;1;1762,0
12;4;0;cclothes;394,0;1;394,0
12;4;0;celluse;2917,0;3;972,3333333333334
12;4;0;eating;-78488,0;3;-26162,666666666668
12;4;0;hairdray;238,0;1;238,0
12;4;0;mcoffe;586,0;1;586,0
12;4;0;mdish;286,0;1;286,0
12;4;0;mhotfood;6055,0;2;3027,5
12;4;0;msandwich;511,0;1;511,0
12;4;0;sleep;23874,999999999993;2;11937,499999999996
12;4;0;takem;206,0;1;206,0
12;4;0;toileting;2533,0;6;422,1666666666667
12;4;0;tshower;838,0;1;838,0
12;4;0;watchtv;13196,000000000007;5;2639,2000000000016
12;4;0;wdish;620,0;1;620,0
12;4;0;whandface;2769,0;10;276,9
13;5;1;cclothes;1345,9999999999998;3;448,6666666666666
13;5;1;celluse;902,0;1;902,0
13;5;1;eating;7297,0;3;2432,3333333333335
13;5;1;goout;9167,0;1;9167,0
13;5;1;hairdray;197,0;1;197,0
13;5;1;mcoffe;821,0;2;410,5
13;5;1;mdish;695,0;3;231,66666666666666
13;5;1;mhotfood;4535,0;2;2267,5
13;5;1;msandwich;500,0;1;500,0
13;5;1;reading;2098,0;1;2098,0
13;5;1;sleep;-19999,999999999993;4;-4999,999999999998
13;5;1;takem;155,0;1;155,0
13;5;1;toileting;1032,0;2;516,0
13;5;1;tshower;631,0;1;631,0
13;5;1;watchtv;5795,999999999993;2;2897,9999999999964
13;5;1;whandface;1458,0;6;243,0
14;6;1;cclothes;1187,0;3;395,6666666666667
14;6;1;eating;7075,0;3;2358,3333333333335
14;6;1;goout;6964,0;1;6964,0
14;6;1;makeup;307,0;1;307,0
14;6;1;mcoffe;759,0;2;379,5
14;6;1;mdish;400,0;2;200,0
14;6;1;mhotfood;6387,0;2;3193,5
14;6;1;msandwich;428,0;1;428,0
14;6;1;sleep;-43243,99999999999;3;-14414,666666666664
14;6;1;takem;226,0;1;226,0
14;6;1;toileting;1556,0;3;518,6666666666666
14;6;1;tshower;1145,0;1;1145,0
14;6;1;watchtv;11273,999999999993;2;5636,999999999996
14;6;1;whandface;1787,0;7;255,28571428571428
15;0;0;cclothes;1208,0;3;402,6666666666667
15;0;0;celluse;2404,0;2;1202,0
15;0;0;eating;4842,0;2;2421,0
15;0;0;goout;9205,0;1;9205,0
15;0;0;hairdray;345,0;1;345,0
15;0;0;mcoffe;805,0;2;402,5
15;0;0;mdish;579,0;2;289,5
15;0;0;mhotfood;2105,0;1;2105,0
15;0;0;msandwich;463,0;1;463,0
15;0;0;mtee;549,0;1;549,0
15;0;0;reading;3387,0;1;3387,0
15;0;0;sleep;-45342,99999999999;3;-15114,33333333333
15;0;0;takem;233,0;1;233,0
15;0;0;toileting;2230,0;5;446,0
15;0;0;tshower;1027,0;1;1027,0
15;0;0;watchtv;5870,0;2;2935,0
15;0;0;whandface;1058,0;4;264,5
16;1;0;cclothes;550,0;1;550,0
16;1;0;celluse;2070,0;2;1035,0
16;1;0;eating;7633,999999999996;3;2544,6666666666656
16;1;0;hairdray;121,0;1;121,0
16;1;0;mcoffe;1876,0;5;375,2
16;1;0;mdish;626,0;2;313,0
16;1;0;mhotfood;5088,0;2;2544,0
16;1;0;msandwich;576,0;1;576,0
16;1;0;mtee;331,0;1;331,0
16;1;0;reading;6749,0;2;3374,5
16;1;0;sleep;-46908,0;3;-15636,0
16;1;0;takem;201,0;1;201,0
16;1;0;toileting;2341,0000000000073;5;468,20000000000147
16;1;0;tshower;949,0;1;949,0
16;1;0;watchtv;14683,999999999993;3;4894,666666666664
16;1;0;wdish;686,0;1;686,0
16;1;0;whandface;2497,0000000000036;10;249,70000000000036
17;2;0;cclothes;1060,0;2;530,0
17;2;0;celluse;2404,0;2;1202,0
17;2;0;eating;3131,0;2;1565,5
17;2;0;goout;9162,999999999993;1;9162,999999999993
17;2;0;hairdray;267,0;1;267,0
17;2;0;mcoffe;1737,0;4;434,25
17;2;0;mdish;295,0;1;295,0
17;2;0;mhotfood;6640,0;2;3320,0
17;2;0;msandwich;345,0;1;345,0
17;2;0;sleep;-44161,0;3;-14720,333333333334
17;2;0;takem;124,0;1;124,0
17;2;0;toileting;2462,0000000000073;5;492,40000000000146
17;2;0;tshower;878,0;1;878,0
17;2;0;watchtv;6423,0;3;2141,0
17;2;0;whandface;1759,0;6;293,1666666666667
18;3;0;cclothes;1783,0;4;445,75
18;3;0;celluse;1874,0;2;937,0
18;3;0;eating;7733,0;3;2577,6666666666665
18;3;0;goout;9504,0;1;9504,0
18;3;0;hairdray;184,0;1;184,0
18;3;0;makeup;375,0;1;375,0
18;3;0;mcoffe;1546,0;3;515,3333333333334
18;3;0;mhotfood;5421,999999999993;2;2710,9999999999964
18;3;0;msandwich;488,0;1;488,0
18;3;0;sleep;-36717,99999999999;3;-12239,33333333333
18;3;0;takem;173,0;1;173,0
18;3;0;toileting;1408,0;4;352,0
18;3;0;tshower;976,0;1;976,0
18;3;0;watchtv;8998,0;4;2249,5
18;3;0;whandface;1371,0;6;228,5
19;4;0;Laundry;2432,0;1;2432,0
19;4;0;Vacuuming;1847,0;1;1847,0
19;4;0;cclothes;-85450,0;2;-42725,0
19;4;0;celluse;1804,0;2;902,0
19;4;0;eating;4011,0;2;2005,5
19;4;0;goout;10772,0;1;10772,0
19;4;0;makeup;405,0;1;405,0
19;4;0;mcoffe;1181,0;2;590,5
19;4;0;mdish;456,0;2;228,0
19;4;0;mhotfood;3047,0;1;3047,0
19;4;0;msandwich;586,0;1;586,0
19;4;0;sleep;16555,999999999993;2;8277,999999999996
19;4;0;takem;223,0;1;223,0
19;4;0;toileting;1858,0;4;464,5
19;4;0;tshower;871,0;1;871,0
19;4;0;watchtv;9418,0;4;2354,5
19;4;0;whandface;2556,0;10;255,6
20;5;1;cclothes;1622,0;3;540,6666666666666
20;5;1;celluse;788,0;1;788,0
20;5;1;eating;3820,0;2;1910,0
20;5;1;hairdray;190,0;1;190,0
20;5;1;mcoffe;1853,0;4;463,25
20;5;1;mdish;542,0;2;271,0
20;5;1;mhotfood;2828,0;1;2828,0
20;5;1;msandwich;485,0;1;485,0
20;5;1;reading;6382,0;2;3191,0
20;5;1;sleep;43026,00000000001;3;14342,000000000002
20;5;1;takem;149,0;1;149,0
20;5;1;toileting;2030,0;4;507,5
20;5;1;tshower;903,0;1;903,0
20;5;1;watchtv;-68559,0;5;-13711,8
20;5;1;wdish;757,0;1;757,0
20;5;1;whandface;1724,0;6;287,3333333333333
21;6;1;cclothes;1654,0;3;551,3333333333334
21;6;1;celluse;2074,0;2;1037,0
21;6;1;eating;3789,0;2;1894,5
21;6;1;goout;-61041,0;3;-20347,0
21;6;1;hairdray;278,0;1;278,0
21;6;1;makeup;862,0;2;431,0
21;6;1;mcoffe;831,0;2;415,5
21;6;1;mhotfood;2365,0000000000073;1;2365,0000000000073
21;6;1;msandwich;416,0;1;416,0
21;6;1;sleep;37221,99999999999;2;18610,999999999996
21;6;1;takem;206,0;1;206,0
21;6;1;toileting;410,0;1;410,0
21;6;1;tshower;1036,0;1;1036,0
21;6;1;watchtv;8054,0;2;4027,0
21;6;1;whandface;1186,0;4;296,5
22;0;0;cclothes;1263,0;3;421,0
22;0;0;eating;3829,0000000000073;2;1914,5000000000036
22;0;0;hairdray;137,0;1;137,0
22;0;0;mcoffe;1603,0;3;534,3333333333334
22;0;0;mdish;559,0;2;279,5
22;0;0;mhotfood;5886,0;2;2943,0
22;0;0;msandwich;537,0;1;537,0
22;0;0;reading;-82917,0;1;-82917,0
22;0;0;sleep;42518,99999999999;3;14172,999999999998
22;0;0;takem;225,0;1;225,0
22;0;0;toileting;1374,0;3;458,0
22;0;0;tshower;724,0;1;724,0
22;0;0;watchtv;16816,0;6;2802,6666666666665
22;0;0;wdish;852,0;1;852,0
22;0;0;whandface;1866,0;7;266,57142857142856
23;1;0;cclothes;1808,9999999999927;4;452,2499999999982
23;1;0;celluse;2749,0;2;1374,5
23;1;0;eating;11148,0;4;2787,0
23;1;0;hairdray;262,0;1;262,0
23;1;0;mcoffe;919,0;2;459,5
23;1;0;mdish;653,0;3;217,66666666666666
23;1;0;mhotfood;2664,0;1;2664,0
23;1;0;msandwich;580,0;1;580,0
23;1;0;reading;3417,0;1;3417,0
23;1;0;sleep;-29133,999999999993;3;-9711,33333333333
23;1;0;takem;180,0;1;180,0
23;1;0;toileting;2079,0;4;519,75
23;1;0;tshower;1189,0;1;1189,0
23;1;0;watchtv;9991,0;3;3330,3333333333335
23;1;0;whandface;2224,0;8;278,0
24;2;0;cclothes;394,0;1;394,0
24;2;0;celluse;1751,0;2;875,5
24;2;0;eating;8878,0;3;2959,3333333333335
24;2;0;goout;-77509,0;1;-77509,0
24;2;0;hairdray;303,0;1;303,0
24;2;0;mcoffe;1212,0;3;404,0
24;2;0;mdish;537,0;2;268,5
24;2;0;mhotfood;4002,0;2;2001,0
24;2;0;msandwich;440,0;1;440,0
24;2;0;sleep;18985,00000000001;2;9492,500000000005
24;2;0;takem;123,0;1;123,0
24;2;0;toileting;2807,0;5;561,4
24;2;0;tshower;895,0;1;895,0
24;2;0;watchtv;13222,999999999993;5;2644,5999999999985
24;2;0;whandface;2569,0;10;256,9
25;3;0;cclothes;1488,0;3;496,0
25;3;0;celluse;1389,0;1;1389,0
25;3;0;eating;8383,0;3;2794,3333333333335
25;3;0;mcoffe;1200,0;3;400,0
25;3;0;mdish;291,0;1;291,0
25;3;0;mhotfood;5163,0;2;2581,5
25;3;0;msandwich;597,0;1;597,0
25;3;0;reading;2246,0;1;2246,0
25;3;0;sleep;-21432,999999999993;4;-5358,249999999998
25;3;0;takem;224,0;1;224,0
25;3;0;toileting;1084,0;3;361,3333333333333
25;3;0;tshower;847,0;1;847,0
25;3;0;watchtv;10157,999999999993;3;3385,9999999999977
25;3;0;whandface;1362,0;5;272,4
26;4;0;Laundry;2862,0;1;2862,0
26;4;0;Vacuuming;1887,0;1;1887,0
26;4;0;cclothes;970,0;2;485,0
26;4;0;celluse;4116,0;4;1029,0
26;4;0;eating;8189,0;3;2729,6666666666665
26;4;0;hairdray;152,0;1;152,0
26;4;0;mcoffe;547,0;1;547,0
26;4;0;mdish;493,0;2;246,5
26;4;0;mhotfood;5021,0;2;2510,5
26;4;0;msandwich;388,0;1;388,0
26;4;0;sleep;-47803,999999999985;3;-15934,666666666662
26;4;0;takem;150,0;1;150,0
26;4;0;toileting;2322,9999999999945;5;464,5999999999989
26;4;0;tshower;1123,0;1;1123,0
26;4;0;watchtv;10912,999999999993;3;3637,6666666666642
26;4;0;wdish;768,0;1;768,0
26;4;0;whandface;1898,0;7;271,14285714285717
27;5;1;cclothes;762,9999999999964;2;381,4999999999982
27;5;1;celluse;2956,0;3;985,3333333333334
27;5;1;eating;8466,0;3;2822,0
27;5;1;mcoffe;1331,0;3;443,6666666666667
27;5;1;mdish;954,0;3;318,0
27;5;1;mhotfood;5040,0;2;2520,0
27;5;1;msandwich;310,0;1;310,0
27;5;1;reading;6219,999999999993;2;3109,9999999999964
27;5;1;sleep;-42629,99999999999;3;-14209,999999999998
27;5;1;takem;192,0;1;192,0
27;5;1;toileting;976,0;2;488,0
27;5;1;tshower;1104,0;1;1104,0
27;5;1;watchtv;11324,0;4;2831,0
27;5;1;wdish;609,0;1;609,0
27;5;1;whandface;1148,0;5;229,6
28;6;1;cclothes;1105,0;3;368,3333333333333
28;6;1;celluse;981,0;1;981,0
28;6;1;eating;7869,0;3;2623,0
28;6;1;goout;7007,0;1;7007,0
28;6;1;hairdray;241,0;1;241,0
28;6;1;mcoffe;920,0;2;460,0
28;6;1;mdish;514,0;2;257,0
28;6;1;mhotfood;5303,0;2;2651,5
28;6;1;msandwich;300,0;1;300,0
28;6;1;sleep;-41689,999999999985;3;-13896,666666666662
28;6;1;takem;221,0;1;221,0
28;6;1;toileting;781,0;2;390,5
28;6;1;tshower;906,0;1;906,0
28;6;1;watchtv;12908,999999999993;4;3227,249999999998
28;6;1;whandface;1552,0;7;221,71428571428572
29;0;0;cclothes;826,0;2;413,0
29;0;0;celluse;2789,0;3;929,6666666666666
29;0;0;eating;7503,0;3;2501,0
29;0;0;hairdray;359,99999999999636;1;359,99999999999636
29;0;0;mcoffe;1219,0;3;406,3333333333333
29;0;0;mdish;427,0;2;213,5
29;0;0;mhotfood;5828,0;2;2914,0
29;0;0;msandwich;497,0;1;497,0
29;0;0;sleep;-50975,999999999985;3;-16991,999999999996
29;0;0;takem;216,0;1;216,0
29;0;0;toileting;2220,0;5;444,0
29;0;0;tshower;868,0;1;868,0
29;0;0;watchtv;14664,999999999993;6;2444,1666666666656
29;0;0;whandface;1904,0;7;272,0
30;1;0;cclothes;1197,0;3;399,0
30;1;0;celluse;1870,0;2;935,0
30;1;0;eating;3805,0;2;1902,5
30;1;0;goout;9063,0;1;9063,0
30;1;0;hairdray;279,0;1;279,0
30;1;0;mcoffe;1149,0;2;574,5
30;1;0;mdish;541,0;2;270,5
30;1;0;mhotfood;3324,0;1;3324,0
30;1;0;msandwich;339,0;1;339,0
30;1;0;sleep;-36401,0;3;-12133,666666666666
30;1;0;takem;209,0;1;209,0
30;1;0;toileting;1994,0000000000073;5;398,80000000000143
30;1;0;tshower;640,0;1;640,0
30;1;0;watchtv;18053,999999999993;5;3610,7999999999984
30;1;0;whandface;1586,9999999999964;6;264,4999999999994
31;2;0;cclothes;888,0;2;444,0
31;2;0;celluse;1965,0;2;982,5
31;2;0;eating;8476,0;3;2825,3333333333335
31;2;0;mcoffe;1076,0;2;538,0
31;2;0;mdish;873,0;3;291,0
31;2;0;mhotfood;4584,0;2;2292,0
31;2;0;msandwich;391,0;1;391,0
31;2;0;mtee;324,0;1;324,0
31;2;0;sleep;-47586,0;3;-15862,0
31;2;0;takem;155,0;1;155,0
31;2;0;toileting;1565,0;4;391,25
31;2;0;watchtv;14727,0;5;2945,4
31;2;0;whandface;2068,9999999999964;8;258,62499999999955
32;3;0;cclothes;826,0;2;413,0
32;3;0;celluse;813,0;1;813,0
32;3;0;eating;8232,0;3;2744,0
32;3;0;goout;8366,0;1;8366,0
32;3;0;hairdray;146,0;1;146,0
32;3;0;mcoffe;1028,0;2;514,0
32;3;0;mdish;776,0;3;258,6666666666667
32;3;0;mhotfood;6592,0;2;3296,0
32;3;0;msandwich;346,0;1;346,0
32;3;0;reading;2509,0;1;2509,0
32;3;0;sleep;-50495,999999999985;3;-16831,999999999996
32;3;0;takem;125,0;1;125,0
32;3;0;toileting;1932,0;4;483,0
32;3;0;tshower;1072,9999999999964;1;1072,9999999999964
32;3;0;watchtv;9837,999999999993;3;3279,3333333333308
32;3;0;wdish;819,0;1;819,0
32;3;0;whandface;1574,0;6;262,3333333333333
33;4;0;Laundry;2708,0;1;2708,0
33;4;0;Vacuuming;2071,0;1;2071,0
33;4;0;cclothes;866,0;2;433,0
33;4;0;eating;8686,0;3;2895,3333333333335
33;4;0;hairdray;216,0;1;216,0
33;4;0;mcoffe;326,0;1;326,0
33;4;0;mhotfood;6264,0;2;3132,0
33;4;0;msandwich;373,0;1;373,0
33;4;0;sleep;-34410,99999999999;3;-11470,33333333333
33;4;0;takem;186,0;1;186,0
33;4;0;toileting;1533,0;3;511,0
33;4;0;tshower;730,0;1;730,0
33;4;0;watchtv;8850,999999999993;3;2950,3333333333308
33;4;0;whandface;1654,0;6;275,6666666666667
34;5;1;cclothes;1617,0;4;404,25
34;5;1;celluse;3558,0;3;1186,0
34;5;1;eating;7071,0;3;2357,0
34;5;1;mcoffe;1431,0;3;477,0
34;5;1;mdish;402,0;2;201,0
34;5;1;mhotfood;2449,0;1;2449,0
34;5;1;msandwich;466,0;1;466,0
34;5;1;reading;6672,0;2;3336,0
34;5;1;sleep;-44821,999999999985;3;-14940,666666666662
34;5;1;takem;199,0;1;199,0
34;5;1;toileting;2341,0;5;468,2
34;5;1;tshower;814,0;1;814,0
34;5;1;watchtv;9605,999999999993;3;3201,9999999999977
34;5;1;whandface;1857,9999999999964;7;265,42857142857093
35;6;1;cclothes;1163,0;3;387,6666666666667
35;6;1;celluse;2705,0;3;901,6666666666666
35;6;1;eating;8486,0;3;2828,6666666666665
35;6;1;goout;6008,0;1;6008,0
35;6;1;hairdray;220,0;1;220,0
35;6;1;mcoffe;358,0;1;358,0
35;6;1;mdish;468,0;2;234,0
35;6;1;mhotfood;6489,0;2;3244,5
35;6;1;msandwich;303,99999999999636;1;303,99999999999636
35;6;1;sleep;-44260,00000000001;3;-14753,333333333336
35;6;1;takem;180,0;1;180,0
35;6;1;toileting;778,0;2;389,0
35;6;1;tshower;689,0;1;689,0
35;6;1;watchtv;13196,0;4;3299,0
35;6;1;whandface;1954,0000000000036;7;279,1428571428577
36;0;0;cclothes;931,0;2;465,5
36;0;0;celluse;3443,0;3;1147,6666666666667
36;0;0;eating;8288,0;3;2762,6666666666665
36;0;0;hairdray;226,0;1;226,0
36;0;0;makeup;583,9999999999927;1;583,9999999999927
36;0;0;mcoffe;1306,0;3;435,3333333333333
36;0;0;mhotfood;5252,0;2;2626,0
36;0;0;msandwich;347,0;1;347,0
36;0;0;mtee;498,0;1;498,0
36;0;0;sleep;-38080,999999999985;3;-12693,666666666662
36;0;0;takem;197,0;1;197,0
36;0;0;toileting;3353,0;8;419,125
36;0;0;tshower;997,0;1;997,0
36;0;0;watchtv;9346,0;3;3115,3333333333335
36;0;0;whandface;2366,0;8;295,75
37;1;0;cclothes;827,0;2;413,5
37;1;0;celluse;2053,0;2;1026,5
37;1;0;eating;6692,0;3;2230,6666666666665
37;1;0;hairdray;274,0;1;274,0
37;1;0;mcoffe;1764,9999999999964;4;441,2499999999991
37;1;0;mdish;539,0;2;269,5
37;1;0;mhotfood;5429,0;2;2714,5
37;1;0;msandwich;345,0;1;345,0
37;1;0;sleep;-55449,99999999999;3;-18483,333333333332
37;1;0;takem;213,0;1;213,0
37;1;0;toileting;3613,0000000000036;8;451,62500000000045
37;1;0;tshower;1067,0;1;1067,0
37;1;0;watchtv;14426,999999999993;4;3606,749999999998
37;1;0;wdish;731,0;1;731,0
37;1;0;whandface;2436,0;11;221,45454545454547
38;2;0;cclothes;581,0;1;581,0
38;2;0;celluse;3042,0;3;1014,0
38;2;0;eating;-77923,0;3;-25974,333333333332
38;2;0;hairdray;243,0;1;243,0
38;2;0;mcoffe;912,0;2;456,0
38;2;0;mdish;609,0;2;304,5
38;2;0;mhotfood;6036,0;2;3018,0
38;2;0;msandwich;526,0;1;526,0
38;2;0;sleep;28126,999999999996;2;14063,499999999998
38;2;0;takem;127,0;1;127,0
38;2;0;toileting;2456,0;6;409,3333333333333
38;2;0;tshower;1066,9999999999964;1;1066,9999999999964
38;2;0;watchtv;19553,000000000007;6;3258,8333333333344
38;2;0;wdish;631,0;1;631,0
38;2;0;whandface;3203,0;12;266,9166666666667
39;3;0;cclothes;1337,0;3;445,6666666666667
39;3;0;celluse;1798,0;2;899,0
39;3;0;eating;7719,0;3;2573,0
39;3;0;hairdray;350,0;1;350,0
39;3;0;mcoffe;1261,0;3;420,3333333333333
39;3;0;mdish;1076,0;4;269,0
39;3;0;mhotfood;5946,0;2;2973,0
39;3;0;msandwich;365,0;1;365,0
39;3;0;mtee;325,0;1;325,0
39;3;0;reading;2297,0;1;2297,0
39;3;0;sleep;-37660,999999999985;3;-12553,666666666662
39;3;0;takem;208,0;1;208,0
39;3;0;toileting;1268,9999999999964;3;422,9999999999988
39;3;0;tshower;1119,0;1;1119,0
39;3;0;watchtv;18338,0;6;3056,3333333333335
39;3;0;wdish;856,9999999999927;1;856,9999999999927
39;3;0;whandface;1438,0;5;287,6
40;4;0;Laundry;2774,0;1;2774,0
40;4;0;Vacuuming;2325,0;1;2325,0
