dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
213;2;0;927,0;2,0;463,5;1
214;3;0;2626,0;5,0;525,2;1
215;4;0;1741,0;4,0;435,25;1
216;5;1;1229,0;3,0;409,6666666666667;1
217;6;1;1834,0;4,0;458,5;1
218;0;0;1426,0;3,0;475,3333333333333;1
219;1;0;855,0;2,0;427,5;1
220;2;0;2370,0;5,0;474,0;1
221;3;0;1066,0;2,0;533,0;1
222;4;0;1590,0;4,0;397,5;1
223;5;1;2188,0;5,0;437,6;1
224;6;1;923,0;2,0;461,5;1
225;0;0;1327,0;3,0;442,3333333333333;1
226;1;0;1125,0;2,0;562,5;1
227;2;0;1406,0;3,0;468,6666666666667;1
228;3;0;1981,0;4,0;495,25;1
229;4;0;1426,0;3,0;475,3333333333333;1
230;5;1;2185,0;5,0;437,0;1
231;6;1;841,0;2,0;420,5;1
232;0;0;865,0;2,0;432,5;1
233;1;0;1174,0;3,0;391,3333333333333;1
234;2;0;2518,0;5,0;503,6;1
235;3;0;1001,0;2,0;500,5;1
236;4;0;578,0;1,0;578,0;1
237;5;1;494,0;1,0;494,0;1
238;6;1;547,0;1,0;547,0;1
239;0;0;1030,0;2,0;515,0;1
240;1;0;2258,0;5,0;451,6;1
241;2;0;1374,0;3,0;458,0;1
242;3;0;917,0;2,0;458,5;1
243;4;0;875,0;2,0;437,5;1
244;5;1;997,0;2,0;498,5;1
245;6;1;1070,0;2,0;535,0;1
246;0;0;1589,0;3,0;529,6666666666666;1
247;1;0;1209,0;3,0;403,0;1
248;2;0;900,0;2,0;450,0;1
249;3;0;826,0;2,0;413,0;1
250;4;0;1345,0;3,0;448,3333333333333;1
251;5;1;905,0;2,0;452,5;1
252;6;1;1824,0;4,0;456,0;1
253;0;0;1223,0;3,0;407,6666666666667;1
254;1;0;1994,0;4,0;498,5;1
255;2;0;1407,0;3,0;469,0;1
256;3;0;2466,0;5,0;493,2;1
257;4;0;570,0;1,0;570,0;1
258;5;1;645,0;2,0;322,5;1
259;6;1;1210,0;3,0;403,3333333333333;1
260;0;0;1577,0;3,0;525,6666666666666;1
261;1;0;1749,0;4,0;437,25;1
262;2;0;594,0;1,0;594,0;1
263;3;0;885,0;2,0;442,5;1
264;4;0;512,0;1,0;512,0;1
265;5;1;1961,0;5,0;392,2;1
266;6;1;773,0;2,0;386,5;1
267;0;0;1735,0;4,0;433,75;1
268;1;0;414,0;1,0;414,0;1
269;2;0;1216,0;3,0;405,3333333333333;1
270;3;0;1996,0;4,0;499,0;1
271;4;0;899,0;2,0;449,5;1
272;5;1;1816,0;4,0;454,0;1
273;6;1;1336,0;3,0;445,3333333333333;1
274;0;0;883,0;2,0;441,5;1
275;1;0;1130,0;2,0;565,0;1
276;2;0;642,0;2,0;321,0;1
277;3;0;765,0;2,0;382,5;1
278;4;0;888,0;2,0;444,0;1
279;5;1;1860,0;4,0;465,0;1
280;6;1;449,0;1,0;449,0;1
281;0;0;1527,0;3,0;509,0;1
282;1;0;900,0;2,0;450,0;1
283;2;0;1309,0;3,0;436,3333333333333;1
284;3;0;1082,0;2,0;541,0;1
285;4;0;1357,0;3,0;452,3333333333333;1
286;5;1;1543,0;4,0;385,75;1
287;6;1;943,0;2,0;471,5;1
288;0;0;1185,0;3,0;395,0;1
289;1;0;850,0;2,0;425,0;1
290;2;0;910,0;2,0;455,0;1
291;3;0;2371,0;5,0;474,2;1
292;4;0;982,0;2,0;491,0;1
293;5;1;1347,0;3,0;449,0;1
294;6;1;1355,0;3,0;451,6666666666667;1
295;0;0;1987,0;4,0;496,75;1
296;1;0;1375,0;3,0;458,3333333333333;1
297;2;0;1017,0;2,0;508,5;1
298;3;0;455,0;1,0;455,0;1
299;4;0;838,0;2,0;419,0;1
300;5;1;576,0;1,0;576,0;1
301;6;1;1564,0;3,0;521,3333333333334;1
302;0;0;919,0;2,0;459,5;1
303;1;0;1559,0;3,0;519,6666666666666;1
304;2;0;1032,0;3,0;344,0;1
305;3;0;915,0;2,0;457,5;1
306;4;0;1325,0;3,0;441,6666666666667;1
307;5;1;821,0;2,0;410,5;1
308;6;1;569,0;1,0;569,0;1
309;0;0;1321,0;3,0;440,3333333333333;1
310;1;0;2059,0;4,0;514,75;1
311;2;0;364,0;1,0;364,0;1
312;3;0;1456,0;3,0;485,3333333333333;1
313;4;0;2110,0;5,0;422,0;1
314;5;1;1891,0;4,0;472,75;1
315;6;1;761,0;2,0;380,5;1
316;0;0;1824,0;4,0;456,0;1
317;1;0;2298,0;5,0;459,6;1
318;2;0;1311,0;3,0;437,0;1
319;3;0;1698,0;4,0;424,5;1
320;4;0;1453,0;3,0;484,3333333333333;1
321;5;1;1817,0;4,0;454,25;1
322;6;1;944,0;2,0;472,0;1
323;0;0;1246,0;3,0;415,3333333333333;1
324;1;0;688,0;2,0;344,0;1
325;2;0;2029,0;4,0;507,25;1
326;3;0;1270,0;3,0;423,3333333333333;1
327;4;0;1756,0;4,0;439,0;1
328;5;1;1766,0;4,0;441,5;1
329;6;1;885,0;2,0;442,5;1
330;0;0;330,0;1,0;330,0;1
331;1;0;682,0;2,0;341,0;1
332;2;0;386,0;1,0;386,0;1
333;3;0;1373,0;3,0;457,6666666666667;1
334;4;0;1170,0;2,0;585,0;1
335;5;1;1817,0;4,0;454,25;1
336;6;1;1471,0;3,0;490,3333333333333;1
337;0;0;925,0;2,0;462,5;1
338;1;0;1362,0;3,0;454,0;1
339;2;0;1029,0;2,0;514,5;1
340;3;0;965,0;2,0;482,5;1
341;4;0;568,0;1,0;568,0;1
342;5;1;1636,0;4,0;409,0;1
343;6;1;1179,0;3,0;393,0;1
344;0;0;1351,0;3,0;450,3333333333333;1
345;1;0;773,0;2,0;386,5;1
346;2;0;552,0;1,0;552,0;1
347;3;0;1629,0;3,0;543,0;1
348;4;0;1695,0;4,0;423,75;1
349;5;1;1177,0;3,0;392,3333333333333;1
350;6;1;1269,0;3,0;423,0;1
351;0;0;868,0;2,0;434,0;1
352;1;0;1503,0;3,0;501,0;1
353;2;0;1286,0;3,0;428,6666666666667;1
354;3;0;1305,0;3,0;435,0;1
355;4;0;2746,0;6,0;457,6666666666667;1
356;5;1;1241,0;3,0;413,6666666666667;1
357;6;1;741,0;2,0;370,5;1
358;0;0;1446,0;3,0;482,0;1
359;1;0;1507,0;3,0;502,3333333333333;1
360;2;0;1433,0;3,0;477,6666666666667;1
361;3;0;783,0;2,0;391,5;1
362;4;0;1991,0;4,0;497,75;1
363;5;1;1241,0;3,0;413,6666666666667;1
364;6;1;1471,0;3,0;490,3333333333333;1
365;0;0;1935,0;4,0;483,75;1
366;1;0;0,0;0,0;0,0;1
